Files already downloaded
[1974.9823700487614, 2257.244576752186, 2644.738058924675, 2293.784108221531, 1889.3923064172268, 2345.7315521240234, 2073.1217669323087, 2173.079471319914]
4 Epoch [79/200], Discriminator 0.2890, Best Generator[4] 0.0428
[1890.0363419689238, 1947.08536478132, 1895.1349840946496, 1956.9950705841184, 2626.3562549352646, 2019.023583110422, 1922.6208338346332, 1901.727208942175]
0 Epoch [80/200], Discriminator 0.3084, Best Generator[0] 0.2087
[2876.637858390808, 2255.2681603357196, 2503.244434148073, 1937.2882845907006, 1811.7755209899624, 1867.9453502395772, 2147.382948130369, 2109.360787129961]
4 Epoch [81/200], Discriminator 0.2045, Best Generator[4] 0.0008
[2210.2440181244165, 2211.2238419018686, 2073.0839393083006, 2195.6050615534186, 2912.124447584152, 2102.4851263165474, 2327.452658139169, 2606.4060626626015]
2 Epoch [82/200], Discriminator 0.1848, Best Generator[2] 0.0425
[2310.723308749497, 2263.182744830847, 2733.6378947496414, 2416.4954271912575, 2355.5039725899696, 2184.843935124576, 2211.1315860301256, 2195.2673784717917]
5 Epoch [83/200], Discriminator 0.3754, Best Generator[5] 0.2496
[2201.620312154293, 2412.2296543717384, 2419.30346763134, 2382.4540420770645, 2446.0697915554047, 2629.7244070768356, 2509.7737892866135, 2173.83202932775]
7 Epoch [84/200], Discriminator 0.4061, Best Generator[7] 0.4719
[2342.471931040287, 2301.846586972475, 2287.8017679452896, 2317.820641696453, 2370.8482888936996, 2179.717691242695, 2261.0148655176163, 2702.3171060085297]
5 Epoch [85/200], Discriminator 0.2844, Best Generator[5] 0.7806
[2443.987541258335, 2451.4760981202126, 2488.3328453302383, 2353.2613434940577, 2348.4957393556833, 2836.5183634757996, 2450.026132941246, 2500.391011953354]
4 Epoch [86/200], Discriminator 0.2545, Best Generator[4] 0.1678
[2048.9309565722942, 2238.139280259609, 2104.650351151824, 2234.2534772902727, 2866.882509469986, 2133.9651338607073, 2140.0212336927652, 2146.5628321170807]
0 Epoch [87/200], Discriminator 0.2848, Best Generator[0] 0.2668
[2782.049429655075, 2216.250804245472, 2217.4028262495995, 2043.454900071025, 2132.2181908637285, 2102.968404740095, 2169.604143947363, 2330.3139420449734]
3 Epoch [88/200], Discriminator 0.2396, Best Generator[3] 0.4401
[1873.8050862488453, 2014.4846267923713, 2058.643411626108, 2942.1308648586273, 1976.287071282044, 1982.378296120558, 2174.393931671977, 1756.6573374546133]
7 Epoch [89/200], Discriminator 0.2730, Best Generator[7] 0.0311
[2674.1322869062424, 2461.645209930837, 2498.8487857431173, 2602.185255020857, 2337.5398914907128, 2369.8841925039887, 2440.5339419282973, 3191.8783473968506]
